B&B	Brandy or cognac	N	Brandy	Straight up; without ice or on the rocks	 Brandy snifter	1 oz Benedictine, 1 oz brandy	Pour the Benedictine into a brandy snifter. Use the back of a bar spoon to gently float the brandy on top.	B&B stands for Brandy & Benedictine. It is one of the icons of fine drinking and is a true classic cocktail. Often, a B&B is served on the rocks, although some prefer it straight up and other prefer it slightly warmer (prep your snifter with warm water, dumping it before adding the spirits). It is almost always served in a brandy snifter and this also makes an ideal after dinner drink or nightcap.	http://cdn3.foodviva.com/static-content/food-images/cocktail-recipes/b-b-benedictine-brandy-cocktail/b-b-benedictine-brandy-cocktail.jpg	6
Rusty Nail	Whiskey	Y	Whiskey	On the rocks; poured over ice	old-fashioned glass, stemmed glass	45ml (9 parts) Scotch Whisky, 25ml (5 parts) Drambuie	First fill a 16 oz glass with crushed ice until it is overflowing. Pour in 5 parts drambuie and 9 parts scotch. Stir gently, as to not bruise the ice. Keep stirring until a thick frost develops on the side of the glass. Garnish with a lemon twist. Serve.	A Rusty Nail is made by mixing Drambuie and Scotch whisky. The drink was included in Difford's Guide Top 100 Cocktails. Some prefer less Drambuie to decrease the sweetness of the drink. Scotch whisky has a fairly biting and hot taste that is counterbalanced by the honeyed, herbal overtones of the Drambuie. A Rusty Nail can be served in an old-fashioned glass on the rocks, neat, or "up" in a stemmed glass. It is most commonly served over ice. A Rusty Nail served without ice is sometimes called a Straight Up Nail.	http://1.bp.blogspot.com/-vjLjvmqdwJ8/Tdb5XwNyltI/AAAAAAAAApM/T98k6eCR31w/s1600/Gaslight%2B01.jpg	16
Cuba Libre	Rum	Y	Rum	On the rocks; poured over ice	12 oz. glass	120 mL Cola, 50 mL White rum, 10 mL Fresh lime juice	Build all ingredients in a highball glass filled with ice. Garnish with lime wedge.	The Cuba Libre is a highball made of cola, lime, and white rum. This highball is often referred to as a Rum and Coke in the United States, Canada, the UK, Ireland, Australia and New Zealand where the lime juice may or may not be included.	http://2eat2drink.files.wordpress.com/2013/01/107-2eat2drink-barrilito-cuba-libre-p.jpg	6
Sake Bomb	Beer	N	Beer, Sake	Straight up; without ice	A pub glass and a shot glass	1 pint (~14 parts) beer, 1 shot (1 part) Sake	The shot of sake is dropped into the beer, causing it to fizz violently. The drink should then be consumed immediately.	The sake bomb or sake bomber is a beer cocktail made by pouring sake into a shot glass and dropping it into a glass of beer. Sometimes two chopsticks are placed parallel on top of the glass of beer, and the shot glass is carefully balanced between them. The drinker slams the table with his fists, causing the sake to fall into the beer. It should be drunk immediately, and works best with warm sake. Alternatively, the drinker may count to three in Japanese, "ichi...ni...san...SAKE BOMB!" Or he may simply yell "KANPAI!" A variation of the sake bomb is to "bomb" a shot of warm sake into chilled Red Bull energy drink.	http://kunights.com/images/6/media/2011/07/07/sake_bomb.jpg	10
Flaming Dr Pepper	Beer	N	Beer, Amaretto	Straight up; without ice	A pub glass and a shot glass	1 pint (~13 parts) beer, 3 parts Amaretto, 1 part high-proof liquor	Layer the two spirits in the shot glass, with the high-proof liquor on top. Light the shot and allow it to burn; then extinguish it by dropping it into the beer glass. Drink immediately.	A Flaming Doctor Pepper is a flaming cocktail said to taste like the soft drink Dr Pepper, although Dr Pepper is not one of its ingredients. It is usually made by filling a shot glass with 3 parts Amaretto and 1 part high-proof liquor, such as Everclear or Bacardi 151. The two liquors are not mixed; the high-proof alcohol is layered on top of the Amaretto. The shot is then set on fire and dropped into a glass half-filled with beer. The flames are extinguished by the beer, and the cocktail should then be drunk quickly.	http://www.mutineermagazine.com/img/blog/flaming_dr_pepper.jpg	20
Irish Car Bomb	Beer	N	Beer, Irish whiskey, Irish cream	Straight up; without ice	A pub glass and a shot glass	1/2 shot Irish whiskey, 1/2 shot Irish cream, 1/2 pint Irish stout	The whiskey is floated on top of the Irish cream in a shot glass, and the shot glass is then dropped into the stout.	An Irish Car Bomb is an American beer cocktail that is drunk as a bomb shot, similar to a boilermaker. It is made with Irish stout, Irish cream, and Irish whiskey.[	http://goinglikesixty.com/wp-content/uploads/2010/03/Irish_Car_Bomb-topshot.jpg	15
U-Boot	Beer	N	Beer, Vodka	Straight up; without ice	A pub glass and a shot glass.	1 (500 ml) bottle of beer (preferably Belgian), 1 shot (40 ml) of vodka (ideally Polish)	small 40 ml glass of vodka is dropped into the larger half-litre (500 ml) beer glass	A U-Boot is a beer cocktail (popular in Germany, Poland, Serbia and Flanders) that is made with a glass of beer and a shot glass of vodka. In Germany, the liquor korn is sometimes used instead, while in Flanders and the Netherlands, jonge jenever is preferred.	http://images1.wikia.nocookie.net/__cb20110208223929/cocktails/images/5/57/Boilermaker.jpg	0
Shandy	Beer	N	Beer	Straight up; without ice	Beer Stein	beer, soft drink	Mix the beer and soft drink, the proportions of the two ingredients are adjusted to taste, usually half-and-half	A shandy is beer mixed with a soft drink, carbonated lemonade, ginger beer, ginger ale, or apple juice. The proportions of the two ingredients are adjusted to taste, usually half-and-half. Nonalcoholic shandies are known as "rock shandies"	http://www.bobthebrit.net/wp-content/uploads/2009/06/shandy.jpg	3
Mimosa	Champagne	Y	Champagne	stirred not shaken	Champagne flute	One part champagne, one part orange juice	Ensure both ingredients are well chilled, then mix into the glass. Serve cold.	A Mimosa is a cocktail-like drink composed of one part champagne (or other sparkling wine) and one part thoroughly chilled citrus fruit juice, usually orange juice unless otherwise specified (e.g. "grapefruit [juice] mimosa"). It is traditionally served in a tall champagne flute with a morning brunch as hair of the dog or to guests at weddings.	http://www.inspiredtaste.net/wp-content/uploads/2012/12/Mimosa-Cocktail-Recipe-1.jpg	20
Bellini	Wines	Y	Sparkling wine	Straight up; without ice	Champagne flute	100ml (2 parts) dry sparkling wine, 50ml (1 part) fresh peach purée	Pour peach puree into chilled flute, add gently sparkling wine. Stir gently.	A Bellini cocktail is a mixture of Prosecco sparkling wine and peach purée or nectar, originating in Venice, Italy.	http://foododdity.com/wp-content/uploads/2011/06/rosemary-bellini.jpeg	32
Buck's Fizz	Wines	Y	Champagne	Straight up; without ice	Champagne flute	100ml (2 parts) orange juice, 50ml (1 part) champagne	Pour the orange juice into glass and top up champagne. Stir gently, garnish and serve.	The Buck's Fizz is an alcoholic drink made of two parts orange juice to one part champagne. Some older recipes list grenadine as an additional ingredient, but the International Bartenders Association recipe does not include it.	http://things2try.com/images/az-bucks-fizz.jpg	18
